Gene	Name	Class	% conserved	Length	%Promoter	%RNP	%ORF	%antisense
ENSMUSG00000106164	Gm43270	intergenic	0	1176	44.56	11.22	9.44	0.00
ENSMUSG00000106205	C230096K16Rik	intergenic	0	1721	100.00	0.00	0.00	0.00
ENSMUSG00000106218	Gm43713	antisense	0	1894	0.00	0.00	0.00	100.00
ENSMUSG00000106288	Gm43593	intergenic	0	1345	0.00	0.00	0.00	0.00
ENSMUSG00000106321	Gm43674	intergenic	0	790	0.00	0.00	0.00	0.00
ENSMUSG00000106383	E330034L11Rik	intergenic	0	1741	0.00	0.00	0.00	0.00
ENSMUSG00000106391	Gm42690	intergenic	0	1835	80.38	0.00	0.00	0.00
ENSMUSG00000106662	Gm43034	antisense	0	1363	63.68	0.00	32.13	100.00
ENSMUSG00000106680	Gm43852	intergenic	0	916	100.00	0.00	0.00	0.00
ENSMUSG00000106692	Gm43299	intergenic	0	1974	0.00	3.39	4.20	0.00
ENSMUSG00000106874	Gm20186	antisense	0	469	100.00	0.00	0.00	0.00
ENSMUSG00000107008	Gm2762	intergenic	0	5465	1.34	1.68	2.34	0.00
ENSMUSG00000107194	Gm43173	antisense	0	592	100.00	0.00	0.00	0.00
ENSMUSG00000107318	Gm43278	antisense	0	1428	18.63	0.00	8.82	18.63
ENSMUSG00000107402	4732416N19Rik	antisense	0	3478	56.04	0.00	4.74	100.00
ENSMUSG00000107412	Gm20383	intergenic	0	1519	0.00	0.00	10.47	0.00
ENSMUSG00000107429	Gm44206	antisense	0	672	31.99	0.00	0.00	38.99
ENSMUSG00000107689	Gm44386	intergenic	0	427	58.55	0.00	32.79	0.00
ENSMUSG00000107690	Gm44044	intergenic	0	1088	0.00	0.00	0.00	0.00
ENSMUSG00000107698	Gm44430	antisense	0	994	99.40	0.00	0.00	0.00
ENSMUSG00000107702	Gm44140	antisense	0	672	12.20	0.00	0.00	12.20
ENSMUSG00000107961	Gm44036	antisense	0	334	77.84	0.00	0.00	22.16
ENSMUSG00000107985	Gm44160	intergenic	0	502	0.00	27.09	0.00	0.00
ENSMUSG00000108030	9530062K07Rik	antisense	0	783	24.78	0.00	22.48	0.00
ENSMUSG00000108079	Gm44210	antisense	0	710	20.85	15.92	14.23	25.35
ENSMUSG00000108325	Gm44898	intergenic	0	2222	0.00	0.00	0.00	0.00
ENSMUSG00000108461	AV356131	antisense	0	749	100.00	0.00	0.00	0.00
ENSMUSG00000108483	Gm45184	intergenic	0	952	0.00	0.00	0.00	0.00
ENSMUSG00000108599	Gm10616	antisense	0	2126	74.88	6.16	0.00	0.00
ENSMUSG00000108749	Gm44767	antisense	0	464	15.52	0.00	0.00	15.52
ENSMUSG00000108867/ENSMUSG00000109121	Gm44643/Gm44644	intergenic	0	3821	0.00	0.00	0.92	0.00
ENSMUSG00000108880	Gm44560	antisense	0	3114	0.00	0.00	0.00	100.00
ENSMUSG00000108980	Gm45155	intergenic	0	593	18.55	0.00	0.00	0.00
ENSMUSG00000108993	Gm44846	intergenic	0	3242	0.00	0.00	0.00	0.00
ENSMUSG00000109006	B230209E15Rik	intergenic	0	1746	0.00	17.30	9.91	0.00
ENSMUSG00000109008	Gm44899	antisense	0	804	36.69	0.00	0.00	53.98
ENSMUSG00000109015	Gm45010	antisense	0	2352	60.63	0.00	0.00	0.00
ENSMUSG00000109080	Gm45068	antisense	0	510	0.00	0.00	4.71	48.63
ENSMUSG00000109095	Gm44799	intergenic	0	1201	0.00	0.00	0.00	0.00
ENSMUSG00000109108	Gm44890	antisense	0	1102	62.16	0.00	0.00	0.00
ENSMUSG00000109118	Gm45109	antisense	0	925	100.00	7.78	0.00	100.00
ENSMUSG00000109282	Gm45188	antisense	0	1366	0.00	0.00	0.00	0.00
ENSMUSG00000109366	Gm44698	intergenic	0	381	24.41	30.71	0.00	0.00
ENSMUSG00000109401	Cpeb1os1	antisense	0	2111	0.00	0.00	0.00	0.00
ENSMUSG00000109440	Bc1-ps1	intergenic	0	317	0.00	0.00	0.00	0.00
ENSMUSG00000109536	9330162G02Rik	antisense	0	30941	20.68	0.59	0.65	100.00
ENSMUSG00000109554	A230057D06Rik	ncRNA host	0	3351	0.00	0.00	5.01	0.00
ENSMUSG00000109587	Gm31105	antisense	0	685	61.31	0.00	0.00	38.69
ENSMUSG00000109602	Gm45503	antisense	0	512	16.02	0.00	11.33	16.02
ENSMUSG00000109770	Gm45465	intergenic	0	592	0.00	0.00	22.13	0.00
ENSMUSG00000109898	6330420H09Rik	intergenic	0	1314	0.00	8.90	12.48	0.00
ENSMUSG00000109958	Gm45377	antisense	0	624	0.00	0.00	0.00	51.28
ENSMUSG00000110027	C030029H02Rik	intergenic	0	3787	0.00	2.83	3.49	0.00
ENSMUSG00000110080	Gm6145	ncRNA host	0	5682	0.00	0.00	4.73	0.00
ENSMUSG00000110120	Gm45251	intergenic	0	1464	0.00	0.00	0.00	0.00
ENSMUSG00000110156	Gm45248	antisense	0	878	28.47	10.82	0.00	28.47
ENSMUSG00000110249	9330121K16Rik	intergenic	0	3885	0.00	0.00	0.00	0.00
ENSMUSG00000110317	Gm45250	intergenic	0	3591	0.00	0.00	0.00	0.00
ENSMUSG00000110342	Gm45263	intergenic	0	1374	0.00	0.00	0.00	0.00
ENSMUSG00000110373	Gm45260	antisense	0	1168	14.55	0.00	6.16	0.00
ENSMUSG00000110653	Gm45849	antisense	0	307	38.44	0.00	100.00	0.00
ENSMUSG00000110767	AC134859.1	intergenic	0	267	0.00	0.00	0.00	0.00
ENSMUSG00000110784	AC164881.1	intergenic	0	660	0.00	0.00	45.30	0.00
ENSMUSG00000110924	AC165261.1	intergenic	0	4317	0.00	0.00	3.91	0.00
ENSMUSG00000111003	AC120394.1	intergenic	0	350	73.14	0.00	0.00	0.00
ENSMUSG00000111013	AC122326.1	intergenic	0	1072	0.00	0.00	6.06	0.00
ENSMUSG00000111088	AC122428.3	antisense	0	817	100.00	0.00	0.00	0.00
ENSMUSG00000111103	AC165442.1	antisense	0	247	100.00	0.00	0.00	18.22
ENSMUSG00000111149	AC113059.2	intergenic	0	375	0.00	0.00	0.00	0.00
ENSMUSG00000111348	AC133947.2	antisense	0	1375	0.00	0.00	24.36	58.69
ENSMUSG00000111496	AC153912.4	intergenic	0	2014	0.00	0.00	0.00	0.00
ENSMUSG00000111669	AC134586.1	intergenic	0	1270	0.00	0.00	0.00	0.00
ENSMUSG00000111720	AC118476.6	intergenic	0	1892	0.00	0.00	0.00	0.00
ENSMUSG00000111905	AC153962.1	antisense	0	1947	100.00	0.00	0.00	100.00
ENSMUSG00000111947	AC131120.1	antisense	0	1616	47.65	0.00	0.00	0.00
ENSMUSG00000111977	AC132265.1	antisense	0	1664	0.00	0.00	5.23	100.00
ENSMUSG00000111990	AC131720.1	intergenic	0	2131	0.00	0.00	0.00	0.00
ENSMUSG00000112110	AC158605.1	intergenic	0	758	28.89	0.00	0.00	0.00
ENSMUSG00000112332	AC153949.1	antisense	0	905	0.00	0.00	0.00	0.00
ENSMUSG00000112763	AC162376.3	antisense	0	1136	5.99	0.00	0.00	0.00
ENSMUSG00000112959	AC159104.1	antisense	0	733	0.00	9.00	32.33	46.79
ENSMUSG00000112964	CT009718.1	intergenic	0	734	0.00	4.63	0.00	0.00
ENSMUSG00000113019	CT009718.2	intergenic	0	391	0.00	0.00	0.00	0.00
ENSMUSG00000113029	AC122190.1	antisense	0	1063	0.00	6.02	46.75	62.46
ENSMUSG00000113047	CT009718.3	intergenic	0	985	0.00	0.00	0.00	0.00
ENSMUSG00000113167	CT025710.1	intergenic	0	2532	0.00	0.00	0.00	0.00
ENSMUSG00000113170	AC132344.1	antisense	0	2091	1.67	0.00	0.00	1.67
ENSMUSG00000113204	CT009718.4	intergenic	0	4045	0.00	3.11	7.22	0.00
ENSMUSG00000113330	AC155241.3	intergenic	0	1249	0.00	0.00	0.00	0.00
ENSMUSG00000113361	AC152827.1	intergenic	0	2188	0.00	0.00	3.70	0.00
ENSMUSG00000113529	AC159649.3	antisense	0	3222	33.40	0.00	0.00	100.00
ENSMUSG00000113679	AC159633.2	antisense	0	5822	0.00	1.00	0.00	93.42
ENSMUSG00000113722	AC140477.3	antisense	0	527	65.28	0.00	63.76	0.00
ENSMUSG00000113771	AC160108.1	antisense	0	1525	0.00	6.82	0.00	0.00
ENSMUSG00000113835	AC144543.2	intergenic	0	2074	0.00	0.00	6.80	0.00
ENSMUSG00000113856	AC165247.1	intergenic	0	1951	0.00	14.66	9.74	0.00
ENSMUSG00000113919	AC165254.2	intergenic	0	503	0.00	15.31	18.29	0.00
ENSMUSG00000113960	AC173210.4	intergenic	0	1120	0.00	0.00	18.21	0.00
ENSMUSG00000114019	AC154231.4	intergenic	0	2174	0.00	0.00	0.00	0.00
ENSMUSG00000114099	AC112146.1	antisense	0	731	0.00	0.00	9.71	10.81
